model_year,make,model
2008,TESLA,ROADSTER
2010,TESLA,ROADSTER
2011,TESLA,ROADSTER
2012,TESLA,MODEL S
2013,TESLA,MODEL S
2014,TESLA,MODEL S
2015,TESLA,MODEL S
2016,TESLA,MODEL S
2016,TESLA,MODEL X
2017,TESLA,MODEL 3
2017,TESLA,MODEL S
2017,TESLA,MODEL X
2018,TESLA,MODEL 3
2018,TESLA,MODEL S
2018,TESLA,MODEL X
2019,TESLA,MODEL 3
2019,TESLA,MODEL S
2019,TESLA,MODEL X
2020,TESLA,MODEL 3
2020,TESLA,MODEL S
2020,TESLA,MODEL X
2020,TESLA,MODEL Y
2021,TESLA,MODEL 3
2021,TESLA,MODEL S
2021,TESLA,MODEL X
2021,TESLA,MODEL Y
2022,TESLA,MODEL 3
2022,TESLA,MODEL S
2022,TESLA,MODEL X
2022,TESLA,MODEL Y
2023,TESLA,MODEL 3
2023,TESLA,MODEL S
2023,TESLA,MODEL X
2023,TESLA,MODEL Y
2024,TESLA,CYBERTRUCK
2024,TESLA,MODEL 3
2024,TESLA,MODEL S
2024,TESLA,MODEL X
2024,TESLA,MODEL Y
